GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,SortRequestParameterResolver,0,110,5,9,0,29,5,11,0,9
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,FormDataInserter,1,102,4,8,0,20,4,13,0,11
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,AcceptResolver,1,119,1,11,0,21,1,19,0,14
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,ResourceInserter,0,17,0,0,0,4,0,4,0,4
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,PartToHttpEntityConverter,0,23,0,0,0,4,0,2,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,RequestParametersResolver,0,21,0,0,0,5,0,4,0,4
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,DataBuffersInserter,0,56,0,4,0,12,0,8,0,6
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,RequestHeadersResolver,0,19,0,0,0,4,0,3,0,3
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,HttpMethodResolver,11,105,1,1,0,18,6,10,5,10
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,SingleBodyInserter,0,24,0,0,0,7,0,3,0,3
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,ValueInserter,0,16,0,0,0,4,0,4,0,4
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,PathVariablesResolver,0,24,0,0,0,5,0,4,0,4
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,Extensions,3,24,0,0,2,6,0,2,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,ReactiveSpringContract,0,115,2,2,0,36,2,8,0,8
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,RequestPathResolver,5,191,5,19,0,40,5,23,0,16
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,PageableRequestParameterResolver,0,85,4,6,0,21,4,8,0,7
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,ContentTypeResolver,5,114,4,8,0,21,4,16,0,14
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,PublisherInserter,0,49,0,0,0,12,0,6,0,6
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,RequestBodyComparator,22,31,11,5,8,10,8,2,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,CookiesResolver,0,19,0,0,0,4,0,3,0,3
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,AbstractRequestBodyInserter,0,49,0,8,0,11,0,10,0,6
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring,MultipartDataInserter,7,473,17,53,1,97,17,50,0,32
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,DefaultParts.FluxContent,0,18,0,0,0,6,0,4,0,4
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,PartBuilder.AbstractFilePartBuilder,0,26,3,3,0,7,3,2,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,PartBuilder.AbstractPartBuilder,0,72,6,6,0,23,6,9,0,9
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,MultipartUtils,5,12,1,3,2,5,2,2,1,1
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,PartBuilder.DataBufferPartBuilder,0,29,0,0,0,9,0,3,0,3
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,PartBuilder,0,34,0,0,0,7,0,6,0,6
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,PartBuilder.FilePartBuilder,0,38,1,1,0,11,1,3,0,3
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,DefaultParts.DefaultFormFieldPart,2,37,1,1,1,10,1,5,0,5
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,DefaultParts.AbstractPart,1,25,1,1,0,8,1,3,0,3
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,DefaultParts.DefaultFilePart,17,26,3,1,4,8,3,3,1,3
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,PartBuilder.FormFieldPartBuilder,0,20,0,0,0,6,0,2,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,PartBuilder.ResourcePartBuilder,0,29,0,0,0,8,0,2,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,DefaultParts,3,60,0,2,1,14,1,5,1,4
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,DefaultParts.DefaultPart,2,25,1,1,1,8,1,4,0,4
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract.spring.multipart,DefaultParts.FileContent,14,59,0,0,5,15,2,7,2,7
Api Client WebFlux Spring,org.bremersee.apiclient,ApiClient,0,3,0,0,0,1,0,1,0,1
Api Client WebFlux Spring,org.bremersee.apiclient.webflux,ReactiveApiClient,2,43,1,1,0,13,1,4,0,4
Api Client WebFlux Spring,org.bremersee.apiclient.webflux,ReactiveErrorHandler,0,4,0,0,0,2,0,2,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux,ReactiveInvocationHandler,14,148,4,12,3,36,4,9,0,5
Api Client WebFlux Spring,org.bremersee.apiclient.webflux,InvocationParameter,46,253,20,20,4,65,14,18,0,12
Api Client WebFlux Spring,org.bremersee.apiclient.webflux,Invocation,2,103,2,4,1,22,2,8,0,7
Api Client WebFlux Spring,org.bremersee.apiclient.webflux,ReactiveApiClient.Builder,0,43,0,0,0,11,0,5,0,5
Api Client WebFlux Spring,org.bremersee.apiclient.webflux,ReactiveContract,2,0,0,0,1,0,1,0,1,0
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract,CookiesConsumer,0,10,0,0,0,3,0,2,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract,ResponseFunction,0,71,0,12,0,19,0,8,0,2
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract,RequestUriFunction,0,56,0,2,0,9,0,4,0,3
Api Client WebFlux Spring,org.bremersee.apiclient.webflux.contract,RequestUriSpecFunction,0,40,0,0,0,7,0,4,0,4
